,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
832,Legumes,Cowpeas,Bag,90,KES5246.00,07/01/2013,2,12,0,90,1,7,2013,5246.0
833,Legumes,Fresh Peas,Bag,51,KES2614.00,07/01/2013,2,17,0,51,1,7,2013,2614.0
834,Legumes,Groundnuts,Bag,110,KES11216.00,07/01/2013,2,20,0,110,1,7,2013,11216.0
835,Roots & Tubers,Red Irish Potatoes,Bag,110,KES2940.00,07/01/2013,3,33,0,110,1,7,2013,2940.0
836,Roots & Tubers,White Irish Potatoes,Bag,110,KES2916.00,07/01/2013,3,40,0,110,1,7,2013,2916.0
837,Roots & Tubers,Cassava Fresh,Bag,99,KES2004.00,07/01/2013,3,8,0,99,1,7,2013,2004.0
838,Roots & Tubers,Sweet Potatoes,Bag,98,KES2957.00,07/01/2013,3,37,0,98,1,7,2013,2957.0
839,Cereals,Dry Maize,Bag,90,KES2703.00,08/01/2013,0,15,0,90,1,8,2013,2703.0
840,Cereals,Green Maize,Ext Bag,115,KES2475.00,08/01/2013,0,19,2,115,1,8,2013,2475.0
841,Cereals,Finger Millet,Bag,90,KES5767.00,08/01/2013,0,16,0,90,1,8,2013,5767.0
842,Cereals,Sorghum,Bag,90,KES3533.00,08/01/2013,0,35,0,90,1,8,2013,3533.0
843,Cereals,Wheat,Bag,90,KES4084.00,08/01/2013,0,39,0,90,1,8,2013,4084.0
844,Legumes,Beans Canadian,Bag,90,KES5434.00,08/01/2013,2,1,0,90,1,8,2013,5434.0
845,Legumes,Beans Rosecoco,Bag,90,KES5701.00,08/01/2013,2,3,0,90,1,8,2013,5701.0
846,Legumes,Beans Mwitemania,Bag,90,KES4972.00,08/01/2013,2,2,0,90,1,8,2013,4972.0
847,Legumes,Mwezi Moja,Bag,90,KES5086.00,08/01/2013,2,27,0,90,1,8,2013,5086.0
848,Legumes,Dolichos (Njahi),Bag,90,KES7580.00,08/01/2013,2,14,0,90,1,8,2013,7580.0
849,Legumes,Green Gram,Bag,90,KES6925.00,08/01/2013,2,18,0,90,1,8,2013,6925.0
850,Legumes,Cowpeas,Bag,90,KES5026.00,08/01/2013,2,12,0,90,1,8,2013,5026.0
851,Legumes,Fresh Peas,Bag,51,KES2539.00,08/01/2013,2,17,0,51,1,8,2013,2539.0
852,Legumes,Groundnuts,Bag,110,KES10877.00,08/01/2013,2,20,0,110,1,8,2013,10877.0
853,Roots & Tubers,Red Irish Potatoes,Bag,110,KES2950.00,08/01/2013,3,33,0,110,1,8,2013,2950.0
854,Roots & Tubers,White Irish Potatoes,Bag,110,KES2927.00,08/01/2013,3,40,0,110,1,8,2013,2927.0
855,Roots & Tubers,Cassava Fresh,Bag,99,KES1956.00,08/01/2013,3,8,0,99,1,8,2013,1956.0
856,Roots & Tubers,Sweet Potatoes,Bag,98,KES2604.00,08/01/2013,3,37,0,98,1,8,2013,2604.0
857,Cereals,Dry Maize,Bag,90,KES2829.00,09/01/2013,0,15,0,90,1,9,2013,2829.0
858,Cereals,Green Maize,Ext Bag,115,KES2630.00,09/01/2013,0,19,2,115,1,9,2013,2630.0
859,Cereals,Finger Millet,Bag,90,KES5820.00,09/01/2013,0,16,0,90,1,9,2013,5820.0
860,Cereals,Sorghum,Bag,90,KES3471.00,09/01/2013,0,35,0,90,1,9,2013,3471.0
861,Cereals,Wheat,Bag,90,KES4024.00,09/01/2013,0,39,0,90,1,9,2013,4024.0
