,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
0,Horticulture,Cabbages,Ext Bag,126,KES2205.00,01/01/2012,1,5,2,126,1,1,2012,2205.0
1,Horticulture,Cooking Bananas,Med Bunch,22,KES511.00,01/01/2012,1,11,4,22,1,1,2012,511.0
2,Horticulture,Ripe Bananas,Med Bunch,14,KES616.00,01/01/2012,1,34,4,14,1,1,2012,616.0
3,Horticulture,Carrots,Ext Bag,138,KES2833.00,01/01/2012,1,7,2,138,1,1,2012,2833.0
4,Horticulture,Tomatoes,Lg Box,64,KES3411.00,01/01/2012,1,38,3,64,1,1,2012,3411.0
5,Horticulture,Onions Dry,net,13,KES1043.00,01/01/2012,1,28,7,13,1,1,2012,1043.0
6,Horticulture,Spring Onions,Bag,142,KES1997.00,01/01/2012,1,36,0,142,1,1,2012,1997.0
7,Horticulture,Chillies,Bag,38,KES2163.00,01/01/2012,1,10,0,38,1,1,2012,2163.0
8,Horticulture,Cucumber,Bag,50,KES2377.00,01/01/2012,1,13,0,50,1,1,2012,2377.0
9,Horticulture,Capsicums,Bag,50,KES2349.00,01/01/2012,1,6,0,50,1,1,2012,2349.0
10,Horticulture,Brinjals,Bag,44,KES1614.00,01/01/2012,1,4,0,44,1,1,2012,1614.0
11,Horticulture,Cauliflower,crate,39,KES2737.00,01/01/2012,1,9,6,39,1,1,2012,2737.0
12,Horticulture,Lettuce,Bag,51,KES2833.00,01/01/2012,1,23,0,51,1,1,2012,2833.0
13,Horticulture,Passion Fruits,Bag,57,KES4063.00,01/01/2012,1,30,0,57,1,1,2012,4063.0
14,Horticulture,Oranges,Bag,93,KES2757.00,01/01/2012,1,29,0,93,1,1,2012,2757.0
15,Horticulture,Lemons,Bag,95,KES1445.00,01/01/2012,1,22,0,95,1,1,2012,1445.0
16,Horticulture,Mangoes Local,Bag,126,KES1514.00,01/01/2012,1,25,0,126,1,1,2012,1514.0
17,Horticulture,Mangoes Ngowe,Sm Basket,25,KES785.00,01/01/2012,1,26,5,25,1,1,2012,785.0
18,Horticulture,Limes,net,13,KES570.00,01/01/2012,1,24,7,13,1,1,2012,570.0
19,Horticulture,Pineapples,Dozen,13,KES748.00,01/01/2012,1,32,1,13,1,1,2012,748.0
20,Horticulture,Pawpaw,Lg Box,54,KES1392.00,01/01/2012,1,31,3,54,1,1,2012,1392.0
21,Horticulture,Avocado,Bag,90,KES2232.00,01/01/2012,1,0,0,90,1,1,2012,2232.0
22,Horticulture,Kales,Bag,50,KES1328.00,01/01/2012,1,21,0,50,1,1,2012,1328.0
23,Horticulture,Cabbages,Ext Bag,126,KES2739.00,02/01/2012,1,5,2,126,1,2,2012,2739.0
24,Horticulture,Cooking Bananas,Med Bunch,22,KES531.00,02/01/2012,1,11,4,22,1,2,2012,531.0
25,Horticulture,Ripe Bananas,Med Bunch,14,KES570.00,02/01/2012,1,34,4,14,1,2,2012,570.0
26,Horticulture,Carrots,Ext Bag,138,KES2754.00,02/01/2012,1,7,2,138,1,2,2012,2754.0
27,Horticulture,Tomatoes,Lg Box,64,KES4100.00,02/01/2012,1,38,3,64,1,2,2012,4100.0
28,Horticulture,Onions Dry,net,13,KES863.00,02/01/2012,1,28,7,13,1,2,2012,863.0
29,Horticulture,Spring Onions,Bag,142,KES2142.00,02/01/2012,1,36,0,142,1,2,2012,2142.0
